web_name,team,position,value,projection,now_cost,Total rank,form,total_points
Cancelo,Man City,Defender,7.213114754098361,42.61602823817808,6.1,1.0,7.5,44
Pinnock,Brentford,Defender,8.260869565217392,35.444928849112145,4.6,2.0,4.8,38
Dias,Man City,Defender,6.39344262295082,39.74184389258807,6.1,3.0,5.0,39
Jansson,Brentford,Defender,8.260869565217392,36.641689904962924,4.6,4.0,4.0,38
Alonso,Chelsea,Defender,6.5,37.189857900723545,6.0,5.0,4.0,39
Azpilicueta,Chelsea,Defender,6.0,39.9755594102981,6.0,6.0,5.5,36
Rüdiger,Chelsea,Defender,6.206896551724138,36.179470388867706,5.8,7.0,5.8,36
Duffy,Brighton,Defender,8.13953488372093,31.136803008243326,4.3,8.0,4.5,35
van Dijk,Liverpool,Defender,5.303030303030304,37.68568184363575,6.6,9.0,5.0,35
Alexander-Arnold,Liverpool,Defender,4.666666666666667,36.905269248476664,7.5,10.0,3.2,35
Cash,Aston Villa,Defender,6.0,29.058815930613488,5.0,11.0,5.5,30
Laporte,Man City,Defender,5.636363636363637,31.24458706385313,5.5,12.0,2.8,31
Dunk,Brighton,Defender,5.8,29.077734756283455,5.0,13.0,5.0,29
Keane,Everton,Defender,5.8,28.55902254904446,5.0,14.0,5.0,29
Reguilón,Spurs,Defender,5.882352941176471,29.52200523165144,5.1,15.0,2.0,30
Marçal,Wolves,Defender,6.086956521739131,25.549706451122656,4.6,16.0,5.8,28
Mings,Aston Villa,Defender,5.8,28.077501116743356,5.0,17.0,3.5,29
Walker,Man City,Defender,4.909090909090909,28.336609376883565,5.5,18.0,5.0,27
Dier,Spurs,Defender,5.6521739130434785,24.873289375853293,4.6,19.0,1.5,26
Cresswell,West Ham,Defender,4.7272727272727275,25.148607286033894,5.5,20.0,3.0,26
Henry,Brentford,Defender,5.333333333333333,22.536749546402977,4.5,21.0,2.5,24
Tierney,Arsenal,Defender,4.693877551020408,22.682441265775353,4.9,22.0,5.2,23
Konsa,Aston Villa,Defender,4.693877551020408,23.72201104566549,4.9,23.0,3.5,23
White,Arsenal,Defender,5.0,20.466403209900506,4.4,24.0,5.2,22
Ajer,Brentford,Defender,5.111111111111111,22.659286936909105,4.5,25.0,2.2,23
Livramento,Southampton,Defender,5.0,19.838250700542396,4.2,26.0,4.2,21
Matip,Liverpool,Defender,4.4,22.37121187550761,5.0,27.0,2.0,22
Christensen,Chelsea,Defender,4.4,22.32961671491693,5.0,28.0,1.8,22
Maguire,Man Utd,Defender,3.888888888888889,24.515940478799283,5.4,29.0,2.8,21
Coady,Wolves,Defender,4.444444444444445,19.660920716112575,4.5,30.0,3.5,20
Kilman,Wolves,Defender,4.444444444444445,19.540939717652574,4.5,31.0,3.5,20
Wan-Bissaka,Man Utd,Defender,3.7037037037037033,21.593398775872508,5.4,32.0,2.0,20
Varane,Man Utd,Defender,3.6363636363636362,21.056919411837544,5.5,33.0,2.0,20
Shaw,Man Utd,Defender,3.7037037037037033,19.354935740775954,5.4,34.0,2.2,20
Semedo,Wolves,Defender,3.877551020408163,18.835297572231422,4.9,35.0,3.8,19
Saïss,Wolves,Defender,3.8,18.878249427131422,5.0,36.0,3.5,19
Mitchell,Crystal Palace,Defender,4.0,17.426450802410614,4.5,37.0,2.5,18
Guéhi,Crystal Palace,Defender,4.0,17.353222628927774,4.5,38.0,2.5,18
Taylor,Burnley,Defender,3.8636363636363633,16.520041216206977,4.4,39.0,3.2,17
Ogbonna,West Ham,Defender,3.4,18.56078541444393,5.0,40.0,3.2,17
Andersen,Crystal Palace,Defender,3.7777777777777777,16.963469437822834,4.5,41.0,2.5,17
Lowton,Burnley,Defender,3.8636363636363633,16.335184456228347,4.4,42.0,2.2,17
Coufal,West Ham,Defender,3.4,17.3177091671431,5.0,43.0,2.5,17
Kouyaté,Crystal Palace,Defender,3.7777777777777777,16.441141327176663,4.5,44.0,2.0,17
Tarkowski,Burnley,Defender,3.4,17.389897049738284,5.0,45.0,2.0,17
Targett,Aston Villa,Defender,3.3333333333333335,15.880995641298032,4.8,46.0,3.5,16
Ward,Crystal Palace,Defender,3.5555555555555554,14.987999702368649,4.5,47.0,2.2,16
Digne,Everton,Defender,3.018867924528302,16.573089150660394,5.3,48.0,2.0,16
Salisu,Southampton,Defender,3.3333333333333335,14.216257641507708,4.5,49.0,2.5,15
Cooper,Leeds,Defender,3.111111111111111,13.538336493168025,4.5,50.0,2.5,14
Mee,Burnley,Defender,2.6530612244897958,12.488206154753842,4.9,51.0,2.5,13
Hanley,Norwich,Defender,2.727272727272727,11.90445166993353,4.4,52.0,2.5,12
Mina,Everton,Defender,2.4489795918367343,11.621176168464334,4.9,53.0,2.8,12
Aarons,Norwich,Defender,2.727272727272727,12.048933030990197,4.4,54.0,2.0,12
Söyüncü,Leicester,Defender,2.4489795918367343,12.140466765584307,4.9,55.0,1.0,12
Ayling,Leeds,Defender,2.6666666666666665,11.378318476175451,4.5,56.0,0.8,12
Troost-Ekong,Watford,Defender,2.2222222222222223,10.276956758872034,4.5,57.0,1.5,10
Gibson,Norwich,Defender,2.0454545454545454,8.712279067860655,4.4,58.0,1.8,9
Firpo,Leeds,Defender,1.6666666666666667,9.752853546883564,4.8,59.0,2.2,8
Ritchie,Newcastle,Defender,1.6,8.770740360288375,5.0,60.0,0.8,8
Clark,Newcastle,Defender,1.1363636363636362,5.436622673174721,4.4,61.0,1.2,5
Fernández,Newcastle,Defender,1.1363636363636362,5.3850777150031295,4.4,62.0,0.8,5
