web_name,team,position,value,projection,now_cost,Total rank,form,total_points
Antonio,West Ham,Forward,5.949367088607595,42.935956768423246,7.9,1.0,2.3,47
Vardy,Leicester,Forward,3.846153846153846,46.39851850870984,10.4,2.0,7.0,40
Saint-Maximin,Newcastle,Forward,5.147058823529412,34.66350985775126,6.8,3.0,7.0,35
Jesus,Man City,Forward,4.186046511627907,41.66950300630451,8.6,4.0,4.0,36
Maupay,Brighton,Forward,4.769230769230769,32.19921440452838,6.5,5.0,6.0,31
Toney,Brentford,Forward,4.603174603174604,32.530020540882184,6.3,6.0,6.3,29
Ings,Aston Villa,Forward,3.5443037974683542,33.121200390583965,7.9,7.0,3.0,28
Lukaku,Chelsea,Forward,2.307692307692308,36.077367010115324,11.7,8.0,5.7,27
Dennis,Watford,Forward,4.339622641509434,23.28333998630928,5.3,9.0,2.7,23
Pukki,Norwich,Forward,3.559322033898305,20.75867864885881,5.9,10.0,3.3,21
Bamford,Leeds,Forward,2.6582278481012658,24.261710187851182,7.9,11.0,2.3,21
A.Armstrong,Southampton,Forward,3.1666666666666665,19.082148619077824,6.0,12.0,2.0,19
Wood,Burnley,Forward,2.794117647058824,20.108201848205773,6.8,13.0,2.0,19
Jiménez,Wolves,Forward,2.1333333333333333,22.460929925520794,7.5,14.0,3.7,16
Adams,Southampton,Forward,2.318840579710145,17.156488888888884,6.9,15.0,1.3,16
Benteke,Crystal Palace,Forward,1.9047619047619049,13.052448345246388,6.3,16.0,1.7,12
Ayew,Crystal Palace,Forward,1.8644067796610169,13.253023431701635,5.9,17.0,2.0,11
Kane,Spurs,Forward,0.578512396694215,20.965908384318094,12.1,18.0,2.0,7
