web_name,team,position,value,projection,now_cost,Total rank,form,total_points
Ederson,Man City,Goalkeeper,5.833333333333333,35.55234110405031,6.0,1.0,5.2,35
Alisson,Liverpool,Goalkeeper,5.833333333333333,35.14294315324956,6.0,2.0,4.5,35
Lloris,Spurs,Goalkeeper,6.363636363636363,36.12932364002468,5.5,3.0,2.0,35
Sá,Wolves,Goalkeeper,6.0,29.275146748292435,5.0,4.0,5.5,30
Martínez,Aston Villa,Goalkeeper,5.454545454545454,30.391255308512182,5.5,5.0,5.2,30
Raya,Brentford,Goalkeeper,6.521739130434783,27.994198145101265,4.6,6.0,3.2,30
Mendy,Chelsea,Goalkeeper,5.0,31.90839625126347,6.0,7.0,3.2,30
de Gea,Man Utd,Goalkeeper,5.490196078431373,27.815117618061734,5.1,8.0,4.0,28
Guaita,Crystal Palace,Goalkeeper,5.777777777777778,23.39978266926137,4.5,9.0,3.5,26
Sánchez,Brighton,Goalkeeper,5.434782608695652,24.614945351708904,4.6,10.0,3.8,25
McCarthy,Southampton,Goalkeeper,5.111111111111111,22.50621851023013,4.5,11.0,4.5,23
Pickford,Everton,Goalkeeper,4.2,22.01183606453853,5.0,12.0,3.0,21
Schmeichel,Leicester,Goalkeeper,4.11764705882353,21.98389803112805,5.1,13.0,2.0,21
Meslier,Leeds,Goalkeeper,3.8,18.70653694932011,5.0,14.0,3.2,19
Fabianski,West Ham,Goalkeeper,3.6,17.80013905384,5.0,15.0,3.5,18
Pope,Burnley,Goalkeeper,3.333333333333333,18.945389703838867,5.4,16.0,2.8,18
Krul,Norwich,Goalkeeper,3.5555555555555554,15.368095269540765,4.5,17.0,3.8,16
