web_name,team,position,value,projection,now_cost,Total rank,form,total_points
Salah,Liverpool,Midfielder,3.04,41.7225421529774,12.5,1.0,7.0,38
Greenwood,Man Utd,Midfielder,4.025974025974026,30.072320982928215,7.7,2.0,7.7,31
Pogba,Man Utd,Midfielder,4.025974025974026,29.211095360368684,7.7,3.0,5.0,31
Benrahma,West Ham,Midfielder,4.53125,27.3255791357455,6.4,4.0,5.7,29
Fernandes,Man Utd,Midfielder,2.5833333333333335,36.50918693463693,12.0,5.0,3.7,31
Gallagher,Crystal Palace,Midfielder,4.642857142857143,24.151204186244577,5.6,6.0,8.7,26
Gray,Everton,Midfielder,4.56140350877193,24.1194649819185,5.7,7.0,8.0,26
Torres,Man City,Midfielder,3.611111111111111,26.782276070430473,7.2,8.0,8.0,26
Doucouré,Everton,Midfielder,4.545454545454546,24.548222113637774,5.5,9.0,5.7,25
Kovacic,Chelsea,Midfielder,4.6,22.12622282803871,5.0,10.0,5.7,23
Fornals,West Ham,Midfielder,3.8333333333333335,22.263686947123176,6.0,11.0,6.0,23
Mané,Liverpool,Midfielder,2.0168067226890756,29.52713535797803,11.9,12.0,7.0,24
Son,Spurs,Midfielder,2.3,36.504544603753466,10.0,13.0,4.3,23
Townsend,Everton,Midfielder,3.888888888888889,20.8599768533969,5.4,14.0,5.3,21
Zaha,Crystal Palace,Midfielder,2.753623188405797,22.202376869669926,6.9,15.0,5.7,19
Jota,Liverpool,Midfielder,2.5974025974025974,21.055884198541314,7.7,16.0,4.0,20
Trossard,Brighton,Midfielder,2.8125,20.05216476089574,6.4,17.0,5.3,18
Grealish,Man City,Midfielder,2.25,19.579194569436552,8.0,18.0,5.7,18
Canós,Brentford,Midfielder,3.272727272727273,17.711408504121884,5.5,19.0,2.3,18
Dele,Spurs,Midfielder,2.4615384615384617,17.49304883057294,6.5,20.0,4.3,16
Gündogan,Man City,Midfielder,2.191780821917808,16.25629232269396,7.3,21.0,4.7,16
Ward-Prowse,Southampton,Midfielder,2.3076923076923075,15.476395331538164,6.5,22.0,4.3,15
Bissouma,Brighton,Midfielder,3.0434782608695654,13.828207407407408,4.6,23.0,4.0,14
McArthur,Crystal Palace,Midfielder,3.111111111111111,12.54032466153525,4.5,24.0,4.0,14
Allan,Everton,Midfielder,3.0434782608695654,11.637289110000404,4.6,25.0,4.0,14
Soucek,West Ham,Midfielder,2.5,14.705724202569826,6.0,26.0,2.3,15
Sarr,Watford,Midfielder,2.5,14.368978275539934,6.0,27.0,2.0,15
Buendía,Aston Villa,Midfielder,2.1875,15.398787952994983,6.4,28.0,4.0,14
Murphy,Newcastle,Midfielder,2.8,13.501406568699812,5.0,29.0,2.3,14
Tielemans,Leicester,Midfielder,2.1538461538461537,14.931784420289876,6.5,30.0,3.7,14
Groß,Brighton,Midfielder,2.3333333333333335,13.965564898764832,6.0,31.0,2.7,14
Mount,Chelsea,Midfielder,1.8918918918918919,16.315649143971992,7.4,32.0,2.7,14
Nørgaard,Brentford,Midfielder,2.6,14.262172479666958,5.0,33.0,1.7,13
Rodrigo,Man City,Midfielder,2.1818181818181817,11.792932635085442,5.5,34.0,4.0,12
Raphinha,Leeds,Midfielder,1.8461538461538463,12.598991483225175,6.5,35.0,3.7,12
Rice,West Ham,Midfielder,2.2,10.451334312266505,5.0,36.0,3.0,11
Gudmundsson,Burnley,Midfielder,2.0,11.189229080249989,5.5,37.0,3.3,11
